service_id,date,exception_type
"1","20220101","2"
"1","20220103","2"
"1","20220103","2"
"1","20220103","2"
"1","20220215","2"
"1","20220406","2"
"1","20220413","2"
"1","20220414","2"
"1","20220415","2"
"1","20220504","2"
"1","20220504","2"
"1","20220504","2"
"1","20220516","2"
"1","20220603","2"
"1","20220603","2"
"1","20220603","2"
"1","20220713","2"
"1","20220714","2"
"1","20220715","2"
"1","20220715","2"
"1","20220715","2"
"1","20220729","2"
"1","20220729","2"
"1","20220729","2"
"1","20220812","2"
"1","20221003","2"
"1","20221014","2"
"1","20221014","2"
"1","20221014","2"
"1","20221024","2"
"1","20221205","2"
"1","20221205","2"
"1","20221212","2"
"1","20221212","2"
"1","20221230","2"
"1","20221230","2"
"2","20220101","1"
"2","20220501","1"
"2","20220515","1"
"2","20221023","1"
"2","20221210","1"
"2","20221231","1"
"4","20220101","2"
"4","20220413","2"
"4","20220414","2"
"4","20220415","2"
"4","20220501","1"
"4","20220515","1"
"4","20221023","1"
"4","20221210","1"
"4","20221231","2"
"5","20220101","2"
"5","20220103","2"
"5","20220413","2"
"5","20220414","2"
"5","20220415","2"
"5","20220501","2"
"5","20220515","2"
"5","20221023","2"
"5","20221210","2"
"5","20221231","2"
"7","20220101","1"
"7","20220103","1"
"7","20220216","1"
"7","20220406","1"
"7","20220413","1"
"7","20220414","1"
"7","20220415","1"
"7","20220501","1"
"7","20220502","1"
"7","20220504","1"
"7","20220513","1"
"7","20220515","1"
"7","20220516","1"
"7","20220603","1"
"7","20220713","1"
"7","20220714","1"
"7","20220715","1"
"7","20220728","1"
"7","20220729","1"
"7","20220812","1"
"7","20221013","1"
"7","20221014","1"
"7","20221023","1"
"7","20221024","1"
"7","20221205","1"
"7","20221210","1"
"7","20221212","1"
"7","20221230","1"
"7","20221231","1"
