trip_id,start_time,end_time,headway_secs
"5","06:00:00","07:00:00","360"
"5","07:00:00","09:00:00","207"
"5","09:00:00","09:30:00","360"
"5","09:30:00","16:00:00","360"
"5","16:00:00","16:30:00","360"
"5","16:30:00","17:00:00","360"
"5","17:00:00","20:00:00","207"
"5","20:00:00","21:00:00","360"
"5","21:00:00","22:00:00","360"
"5","22:00:00","24:00:00","480"
"6","06:00:00","07:00:00","360"
"6","07:00:00","09:00:00","207"
"6","09:00:00","09:30:00","360"
"6","09:30:00","16:00:00","360"
"6","16:00:00","16:30:00","360"
"6","16:30:00","17:00:00","360"
"6","17:00:00","20:00:00","207"
"6","20:00:00","21:00:00","360"
"6","21:00:00","22:00:00","360"
"6","22:00:00","24:00:00","480"
"7","06:00:00","08:00:00","420"
"7","08:00:00","09:00:00","420"
"7","09:00:00","11:00:00","324"
"7","11:00:00","21:00:00","324"
"7","21:00:00","22:00:00","420"
"7","22:00:00","24:00:00","480"
"8","06:00:00","08:00:00","420"
"8","08:00:00","09:00:00","420"
"8","09:00:00","11:00:00","324"
"8","11:00:00","21:00:00","324"
"8","21:00:00","22:00:00","420"
"8","22:00:00","24:00:00","480"
"9","06:45:00","07:30:00","1200"
"9","16:00:00","16:30:00","1500"
"10","06:45:00","07:30:00","1200"
"10","16:00:00","16:30:00","1500"
"11","06:00:00","08:00:00","720"
"11","08:00:00","09:00:00","900"
"11","09:00:00","15:00:00","1200"
"11","15:00:00","16:00:00","900"
"11","16:00:00","19:00:00","600"
"12","05:50:00","07:00:00","600"
"12","07:00:00","08:00:00","300"
"12","08:00:00","09:00:00","900"
"12","09:00:00","15:00:00","120"
"12","15:00:00","18:00:00","900"
"12","18:00:00","19:00:00","1200"
"13","06:00:00","19:00:00","1200"
"14","06:00:00","19:00:00","1200"
"15","16:45:00","17:00:00","1200"
"15","19:00:00","20:00:00","600"
"16","06:15:00","07:00:00","480"
"16","08:00:00","08:20:00","600"
"16","17:00:00","17:30:00","300"
"17","07:15:00","07:30:00","900"
"18","16:05:00","18:05:00","1200"
"19","06:10:00","08:00:00","900"
"20","17:00:00","17:30:00","1800"
"21","16:30:00","17:50:00","1800"
"22","06:30:00","08:00:00","1800"
"23","06:00:00","09:00:00","900"
"23","16:00:00","19:30:00","900"
"24","06:00:00","09:00:00","900"
"24","16:00:00","19:30:00","900"
"25","05:30:00","09:00:00","600"
"25","09:01:00","15:00:00","900"
"25","15:01:00","20:00:00","600"
